"PK_CORP","PK_PSNALCUST","PK_PSN","PK_CUSTCL","SEALFLAG"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150331-CA39-1029-CE05-3ACA80065029","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150126-002F-C029-6E05-3ACA80065029","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150127-3224-7011-8E05-3ACA80065011","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150604-B3EC-700A-4E05-3ACA8006500A","E7DDD410-F14C-11E3-A497-87799FC000BE","BEAC2760-1A86-11E3-A760-8A1F28EE552E","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150205-D5C6-D020-2E05-3ACA80065020","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150203-9264-9012-8E05-3ACA80065012","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150415-C643-801A-EE05-3ACA8006501A","20130726-D697-44BF-099D-E8EC0811BC7C","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150210-C6C4-B024-EE05-3ACA80065024","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150331-8498-7015-0E05-3ACA80065015","20130726-A0D1-040A-49E6-3F373C6282CC","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
"26F79860-1A85-11E3-9860-D2A88FA7BD89","20150605-957F-9022-EE05-3ACA80065022","E7DDD410-F14C-11E3-A497-87799FC000BE","20131117-6D87-A4EA-7B93-A18A32DF3C08","N"
